KAB_KOTA,PROVINSI,layer,path,2020,2021,2022,2023,2024,2025
PIDIE,ACEH,Batas Kabupaten Aceh,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Aceh.shp,181.47900782332766,183.86345172739698,184.02014469119285,0.0,182.57852650002735,185.10759903100512
PIDIE JAYA,ACEH,Batas Kabupaten Aceh,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Aceh.shp,172.14480202818856,178.45755003536036,177.5606522511124,0.0,176.1012234138022,179.9818133587595
SIMEULUE,ACEH,Batas Kabupaten Aceh,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Aceh.shp,192.1591245096015,193.7673342969234,192.72181589445276,0.0,190.57132662843333,190.0597097946268
TAPANULI TENGAH,ACEH,Batas Kabupaten Aceh,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Aceh.shp,212.32808147632312,213.0405205431755,213.6594489902507,0.0,211.9386969011142,212.1227150069638
,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,29.162182772754935,15.516564376691084,29.04735769227949,12.861005112974173,28.832273770503825,28.702497488579453
AGAM,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,170.15169373711527,106.93950643589348,168.027614074311,52.93109005909617,168.2379700006348,165.88130436039881
BUNGO,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,0.0,0.0,0.0,0.0,0.0,0.0
DHARMASRAYA,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,56.75815617281302,42.34143039901571,58.91164488307536,57.852342172802466,58.54078786336593,59.0204409709023
KAMPAR,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,209.30091185410333,178.83030337787463,212.50358433216724,24.05359663613155,213.16236881123353,208.50417216264265
KEPULAUAN MENTAWAI,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,69.74514661040216,0.0,67.21940082668355,60.32581307481511,60.49990051014852,69.54830422634541
KERINCI,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,0.0,0.0,0.0,0.0,0.0,0.0
KOTA BUKITTINGGI,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,108.79645602850178,0.8124233838833677,98.74779673729608,96.21456519237408,99.35314082130134,96.49624976561034
KOTA PADANG,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,167.98461913486565,0.0,168.2129416297741,159.84290219301414,163.14814319929772,165.12314986654775
KOTA PADANG PANJANG,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,150.50186330143134,0.0,136.3586008300161,137.66352137900157,138.91029685779623,135.5339417294825
KOTA PARIAMAN,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,128.7742617491398,0.0,119.33332872718228,118.21258627461982,119.2338496828665,117.60212527809637
KOTA PAYAKUMBUH,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,130.29327345736212,127.91515194715709,112.59909235630955,0.0,114.64768218214651,110.00615391926247
KOTA SAWAHLUNTO,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,169.6982784781672,0.0,170.8963078133488,171.32122373134615,171.86261823323716,171.09950475473119
KOTA SOLOK,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,150.6667498825188,0.0,147.88764391447367,144.08365427400918,147.4981006136479,148.49814967105263
KUANTAN SINGINGI,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,71.61523582187834,25.644533500699644,72.52112313770681,62.14245120111915,71.29677246275125,72.93269507778417
LIMA PULUH KOTA,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,185.72975849982012,173.53799747317782,185.0009800140295,9.484388595646099,186.75252368850943,181.82963706835037
MANDAILING NATAL,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,203.69674024640656,206.78234086242298,208.9185244939865,0.0,207.64217879143445,205.9415932452276
MUKOMUKO,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,0.0,0.0,0.0,0.0,0.0,0.0
PADANG LAWAS,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,204.51494817450495,207.74771813118812,210.92154625618812,0.0,211.0820699257426,210.63758895420793
PADANG PARIAMAN,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,170.91676644449984,0.0,168.58505005199908,163.0218606552357,169.36559934054875,166.51144475437462
PASAMAN,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,197.61206961101766,198.86467344952214,198.82759237851036,0.0,199.77314364693876,197.69506802922584
PASAMAN BARAT,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,173.95998995766385,174.39727414004022,173.46457062355208,0.0,173.52530259098066,169.08890487371914
PESISIR SELATAN,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,63.62698727995825,0.0,64.63709788509276,60.24107077424479,62.61005543964232,64.13919511821481
ROKAN HULU,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,212.66366989740297,214.19597974940638,214.63744567733457,0.0,216.0978880932152,214.85640895446602
SIJUNJUNG,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,192.77302574080514,32.02621975887186,195.37088129234945,192.92378894315442,192.8643541543257,194.78299200250072
SOLOK,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,181.77405577506042,0.0,189.55157509241135,184.93293698806954,187.7276154471878,189.16810320300183
SOLOK SELATAN,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,121.7434630565286,52.59273151643991,130.8002846867626,127.70530832413877,129.6303035428089,130.78738551702673
TANAH DATAR,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,177.15381688635267,0.0,175.17415330354382,171.78616964379378,175.01323754597365,172.72118591906903
TEBO,SUMBAR,Batas Kabupaten Sumbar,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumbar.shp,0.0,0.0,0.0,0.0,0.0,0.0
,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,109.5484333527125,111.69307371448986,102.80281372430241,0.0,112.34505912379878,111.761623639332
ACEH SINGKIL,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,166.65661117226196,166.1491469455146,163.64472115208218,0.0,165.08310401761145,164.43835993395706
ACEH TAMIANG,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,177.12281297134237,170.99725992961288,142.7821233292831,0.0,175.29061371841155,143.1848438112025
ACEH TENGGARA,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,189.10375988630747,189.62271379139892,188.8334465741668,0.0,192.850037073653,194.77527008568237
ASAHAN,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,161.93488707931346,161.7537175698219,158.1264060088869,0.0,159.05550473978448,160.8320107627466
BATU BARA,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,133.56137214736572,133.29771338189826,128.9477524853391,0.0,128.16610568246338,132.00594690547106
DAIRI,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,171.70404123818568,173.03224221426606,173.242729833037,0.0,174.43643507397715,171.7713851902022
DELI SERDANG,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,146.36269322877322,146.68323863338577,141.80022717317004,0.0,139.82946843099543,141.36340960789565
GAYO LUES,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,190.63675226771267,179.88492890414318,190.14066280241934,0.0,187.74570479056936,198.49835883246527
HUMBANG HASUNDUTAN,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,186.49200794690026,187.34347767191946,188.3882973787616,0.0,187.88532426730055,185.69735178579492
KARO,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,162.11857352751835,164.69696464123118,161.1496366023624,0.0,163.50705508510597,161.30193850035494
KOTA BINJAI,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,118.58433478223813,116.78715304412057,101.45308105343902,0.0,100.43734196994232,102.07468015189825
KOTA GUNUNGSITOLI,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,179.91216421721938,177.0709125027976,171.4657531715501,0.0,170.90101549931023,171.2382652489242
KOTA MEDAN,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,79.19371851134706,77.63339087012184,67.64008500244934,0.0,68.25351482617587,68.70557512372532
KOTA PADANG SIDIMPUAN,SUMUT,Batas Kabupaten Sumut,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Sumut.shp,145.25431721572795,144.77005844845908,142.41191551540913,0.0,141.26814777624367,144.24063496280553
